filename	barcode(s)
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A04_697150.hg19.seg.txt	TCGA-AO-A0JL-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A05_697032.hg19.seg.txt	TCGA-BH-A0HF-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A07_697200.hg19.seg.txt	TCGA-BH-A0HK-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A09_697146.hg19.seg.txt	TCGA-AO-A0JF-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B01_697160.hg19.seg.txt	TCGA-BH-A0DP-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B03_697186.hg19.seg.txt	TCGA-AO-A0JJ-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B05_697036.hg19.seg.txt	TCGA-A8-A0A6-01A-12D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B07_697190.hg19.seg.txt	TCGA-AO-A0JM-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B08_697166.hg19.seg.txt	TCGA-BH-A0HB-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B10_697116.hg19.seg.txt	TCGA-A2-A0EU-01A-22D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B11_697062.hg19.seg.txt	TCGA-B6-A0RI-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C01_697154.hg19.seg.txt	TCGA-AO-A03L-01A-41D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C02_697152.hg19.seg.txt	TCGA-BH-A0B9-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C03_707088.hg19.seg.txt	TCGA-BH-A0HY-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074.hg19.seg.txt	TCGA-AO-A0JI-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C06_697142.hg19.seg.txt	TCGA-BH-A0BA-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C07_697170.hg19.seg.txt	TCGA-BH-A0DS-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C08_697054.hg19.seg.txt	TCGA-BH-A0H6-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C09_697084.hg19.seg.txt	TCGA-B6-A0IK-01A-12D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C10_697206.hg19.seg.txt	TCGA-BH-A0BJ-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C11_697162.hg19.seg.txt	TCGA-BH-A0H7-01A-13D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D03_697114.hg19.seg.txt	TCGA-BH-A0BM-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D04_697026.hg19.seg.txt	TCGA-BH-A0E1-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D05_697090.hg19.seg.txt	TCGA-BH-A0H9-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D11_697080.hg19.seg.txt	TCGA-BH-A0E2-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D12_697044.hg19.seg.txt	TCGA-AO-A0JC-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E02_697130.hg19.seg.txt	TCGA-BH-A0B1-01A-12D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E03_697050.hg19.seg.txt	TCGA-AO-A0JD-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112.hg19.seg.txt	TCGA-B6-A0RG-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E08_697096.hg19.seg.txt	TCGA-BH-A0B3-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E09_697144.hg19.seg.txt	TCGA-AO-A0JE-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F07_697060.hg19.seg.txt	TCGA-BH-A0E0-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F10_697194.hg19.seg.txt	TCGA-BH-A0AW-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F11_697168.hg19.seg.txt	TCGA-B6-A0RE-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G02_697016.hg19.seg.txt	TCGA-A2-A0CT-01A-31D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G04_697204.hg19.seg.txt	TCGA-BH-A0GY-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G05_697094.hg19.seg.txt	TCGA-BH-A0B8-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G06_697140.hg19.seg.txt	TCGA-BH-A0DK-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G07_697158.hg19.seg.txt	TCGA-BH-A0HX-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G09_697048.hg19.seg.txt	TCGA-BH-A0H0-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078.hg19.seg.txt	TCGA-A8-A08O-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G12_697192.hg19.seg.txt	TCGA-AO-A0JA-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H02_697030.hg19.seg.txt	TCGA-A8-A0AD-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H03_697088.hg19.seg.txt	TCGA-AO-A0JB-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H04_697174.hg19.seg.txt	TCGA-BH-A0C0-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H07_697072.hg19.seg.txt	TCGA-A7-A0D9-01A-31D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H10_697068.hg19.seg.txt	TCGA-BH-A0GZ-01A-11D-A059-01
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A01_667050.hg19.seg.txt	TCGA-AN-A041-01A-11D-A036-01
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878.hg19.seg.txt	TCGA-A8-A0A2-01A-11D-A036-01
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A06_666942.hg19.seg.txt	TCGA-A8-A0AB-01A-11D-A036-01
