filename	barcode(s)
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A04_697150.hg18.seg.txt	TCGA-AO-A0JL-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A04_697150.hg19.seg.txt	TCGA-AO-A0JL-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A04_697150.nocnv_hg18.seg.txt	TCGA-AO-A0JL-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A04_697150.nocnv_hg19.seg.txt	TCGA-AO-A0JL-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A05_697032.hg18.seg.txt	TCGA-BH-A0HF-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A05_697032.hg19.seg.txt	TCGA-BH-A0HF-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A05_697032.nocnv_hg18.seg.txt	TCGA-BH-A0HF-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A07_697200.hg18.seg.txt	TCGA-BH-A0HK-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A07_697200.hg19.seg.txt	TCGA-BH-A0HK-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A07_697200.nocnv_hg18.seg.txt	TCGA-BH-A0HK-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A07_697200.nocnv_hg19.seg.txt	TCGA-BH-A0HK-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A09_697146.hg18.seg.txt	TCGA-AO-A0JF-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A09_697146.hg19.seg.txt	TCGA-AO-A0JF-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A09_697146.nocnv_hg18.seg.txt	TCGA-AO-A0JF-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A09_697146.nocnv_hg19.seg.txt	TCGA-AO-A0JF-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B01_697160.hg18.seg.txt	TCGA-BH-A0DP-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B01_697160.hg19.seg.txt	TCGA-BH-A0DP-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B01_697160.nocnv_hg18.seg.txt	TCGA-BH-A0DP-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B01_697160.nocnv_hg19.seg.txt	TCGA-BH-A0DP-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B03_697186.hg18.seg.txt	TCGA-AO-A0JJ-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B03_697186.hg19.seg.txt	TCGA-AO-A0JJ-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B03_697186.nocnv_hg18.seg.txt	TCGA-AO-A0JJ-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B03_697186.nocnv_hg19.seg.txt	TCGA-AO-A0JJ-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B05_697036.hg18.seg.txt	TCGA-A8-A0A6-01A-12D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B05_697036.hg19.seg.txt	TCGA-A8-A0A6-01A-12D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B05_697036.nocnv_hg18.seg.txt	TCGA-A8-A0A6-01A-12D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B05_697036.nocnv_hg19.seg.txt	TCGA-A8-A0A6-01A-12D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B07_697190.hg18.seg.txt	TCGA-AO-A0JM-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B07_697190.hg19.seg.txt	TCGA-AO-A0JM-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B07_697190.nocnv_hg18.seg.txt	TCGA-AO-A0JM-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B07_697190.nocnv_hg19.seg.txt	TCGA-AO-A0JM-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B08_697166.hg18.seg.txt	TCGA-BH-A0HB-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B08_697166.hg19.seg.txt	TCGA-BH-A0HB-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B08_697166.nocnv_hg18.seg.txt	TCGA-BH-A0HB-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B08_697166.nocnv_hg19.seg.txt	TCGA-BH-A0HB-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B10_697116.hg18.seg.txt	TCGA-A2-A0EU-01A-22D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B10_697116.hg19.seg.txt	TCGA-A2-A0EU-01A-22D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B10_697116.nocnv_hg18.seg.txt	TCGA-A2-A0EU-01A-22D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B10_697116.nocnv_hg19.seg.txt	TCGA-A2-A0EU-01A-22D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B11_697062.hg18.seg.txt	TCGA-B6-A0RI-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B11_697062.hg19.seg.txt	TCGA-B6-A0RI-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B11_697062.nocnv_hg18.seg.txt	TCGA-B6-A0RI-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B11_697062.nocnv_hg19.seg.txt	TCGA-B6-A0RI-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C01_697154.hg18.seg.txt	TCGA-AO-A03L-01A-41D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C01_697154.hg19.seg.txt	TCGA-AO-A03L-01A-41D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C01_697154.nocnv_hg18.seg.txt	TCGA-AO-A03L-01A-41D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C01_697154.nocnv_hg19.seg.txt	TCGA-AO-A03L-01A-41D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C02_697152.hg18.seg.txt	TCGA-BH-A0B9-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C02_697152.hg19.seg.txt	TCGA-BH-A0B9-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C02_697152.nocnv_hg18.seg.txt	TCGA-BH-A0B9-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C02_697152.nocnv_hg19.seg.txt	TCGA-BH-A0B9-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C03_707088.hg18.seg.txt	TCGA-BH-A0HY-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C03_707088.hg19.seg.txt	TCGA-BH-A0HY-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C03_707088.nocnv_hg18.seg.txt	TCGA-BH-A0HY-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C03_707088.nocnv_hg19.seg.txt	TCGA-BH-A0HY-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074.hg18.seg.txt	TCGA-AO-A0JI-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074.hg19.seg.txt	TCGA-AO-A0JI-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074.nocnv_hg18.seg.txt	TCGA-AO-A0JI-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074.nocnv_hg19.seg.txt	TCGA-AO-A0JI-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C06_697142.hg18.seg.txt	TCGA-BH-A0BA-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C06_697142.hg19.seg.txt	TCGA-BH-A0BA-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C06_697142.nocnv_hg18.seg.txt	TCGA-BH-A0BA-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C06_697142.nocnv_hg19.seg.txt	TCGA-BH-A0BA-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C07_697170.hg18.seg.txt	TCGA-BH-A0DS-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C07_697170.hg19.seg.txt	TCGA-BH-A0DS-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C07_697170.nocnv_hg18.seg.txt	TCGA-BH-A0DS-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C07_697170.nocnv_hg19.seg.txt	TCGA-BH-A0DS-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C08_697054.hg18.seg.txt	TCGA-BH-A0H6-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C08_697054.hg19.seg.txt	TCGA-BH-A0H6-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C08_697054.nocnv_hg18.seg.txt	TCGA-BH-A0H6-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C08_697054.nocnv_hg19.seg.txt	TCGA-BH-A0H6-01A-21D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C09_697084.hg18.seg.txt	TCGA-B6-A0IK-01A-12D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C09_697084.hg19.seg.txt	TCGA-B6-A0IK-01A-12D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C09_697084.nocnv_hg18.seg.txt	TCGA-B6-A0IK-01A-12D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C09_697084.nocnv_hg19.seg.txt	TCGA-B6-A0IK-01A-12D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C10_697206.hg18.seg.txt	TCGA-BH-A0BJ-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C10_697206.hg19.seg.txt	TCGA-BH-A0BJ-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C10_697206.nocnv_hg18.seg.txt	TCGA-BH-A0BJ-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C10_697206.nocnv_hg19.seg.txt	TCGA-BH-A0BJ-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C11_697162.hg18.seg.txt	TCGA-BH-A0H7-01A-13D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C11_697162.hg19.seg.txt	TCGA-BH-A0H7-01A-13D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C11_697162.nocnv_hg18.seg.txt	TCGA-BH-A0H7-01A-13D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C11_697162.nocnv_hg19.seg.txt	TCGA-BH-A0H7-01A-13D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D03_697114.hg18.seg.txt	TCGA-BH-A0BM-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D03_697114.hg19.seg.txt	TCGA-BH-A0BM-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D03_697114.nocnv_hg18.seg.txt	TCGA-BH-A0BM-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D03_697114.nocnv_hg19.seg.txt	TCGA-BH-A0BM-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D04_697026.hg18.seg.txt	TCGA-BH-A0E1-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D04_697026.hg19.seg.txt	TCGA-BH-A0E1-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D04_697026.nocnv_hg18.seg.txt	TCGA-BH-A0E1-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D04_697026.nocnv_hg19.seg.txt	TCGA-BH-A0E1-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D05_697090.hg18.seg.txt	TCGA-BH-A0H9-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D05_697090.hg19.seg.txt	TCGA-BH-A0H9-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D05_697090.nocnv_hg18.seg.txt	TCGA-BH-A0H9-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D05_697090.nocnv_hg19.seg.txt	TCGA-BH-A0H9-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D11_697080.hg18.seg.txt	TCGA-BH-A0E2-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D11_697080.hg19.seg.txt	TCGA-BH-A0E2-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D11_697080.nocnv_hg18.seg.txt	TCGA-BH-A0E2-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D11_697080.nocnv_hg19.seg.txt	TCGA-BH-A0E2-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D12_697044.hg18.seg.txt	TCGA-AO-A0JC-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D12_697044.hg19.seg.txt	TCGA-AO-A0JC-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D12_697044.nocnv_hg18.seg.txt	TCGA-AO-A0JC-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D12_697044.nocnv_hg19.seg.txt	TCGA-AO-A0JC-01A-11D-A059-01
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E02_697130.hg18.seg.txt	TCGA-BH-A0B1-01A-12D-A059-01
